# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 298
#
# Samples: 26K of event 'cycles'
# Event count (approx.): 27671079937
#
# Overhead  Command          Shared Object                Symbol                                                   
# ........  ...............  ...........................  .........................................................
#
     0.04%  iperf3           [kernel.kallsyms]            [k] new_sync_read
     0.04%  iperf3           [kernel.kallsyms]            [k] ipv6_skip_exthdr
     0.04%  iperf3           [kernel.kallsyms]            [k] put_cpu_partial
     0.04%  swapper          [kernel.kallsyms]            [k] update_load_avg
     0.04%  iperf3           [kernel.kallsyms]            [k] enqueue_to_backlog
     0.04%  iperf3           [kernel.kallsyms]            [k] __netif_receive_skb_one_core
     0.04%  iperf3           [kernel.kallsyms]            [k] __fdget_pos
     0.04%  iperf3           [kernel.kallsyms]            [k] ktime_get
     0.04%  iperf3           [kernel.kallsyms]            [k] get_l4proto
     0.04%  swapper          [kernel.kallsyms]            [k] pick_next_entity
     0.04%  iperf3           [kernel.kallsyms]            [k] nf_ip6_checksum
     0.04%  iperf3           [kernel.kallsyms]            [k] sock_rfree
     0.04%  iperf3           [kernel.kallsyms]            [k] update_rq_clock
     0.04%  iperf3           libiperf.so.0.0.0            [.] tmr_timeout
     0.04%  iperf3           [kernel.kallsyms]            [k] __update_load_avg_se
     0.04%  iperf3           [kernel.kallsyms]            [k] kmalloc_slab
     0.03%  iperf3           [kernel.kallsyms]            [k] vfs_read
     0.03%  xfce4-terminal   libglib-2.0.so.0.6000.6      [.] g_array_append_vals
     0.03%  panel-9-cpugrap  libXrender.so.1.3.0          [.] XRenderFindDisplay
     0.03%  swapper          [kernel.kallsyms]            [k] get_cpu_device
     0.03%  iperf3           [kernel.kallsyms]            [k] tcp6_gro_receive
     0.03%  iperf3           [kernel.kallsyms]            [k] csum_ipv6_magic
     0.03%  iperf3           [kernel.kallsyms]            [k] ip6_finish_output
     0.03%  iperf3           [kernel.kallsyms]            [k] tcp_v6_do_rcv
     0.03%  iperf3           [kernel.kallsyms]            [k] security_socket_recvmsg
     0.03%  iperf3           [kernel.kallsyms]            [k] skb_clone
     0.03%  iperf3           [kernel.kallsyms]            [k] nf_nat_ipv6_local_fn
     0.03%  ksoftirqd/2      [kernel.kallsyms]            [k] rt6_uncached_list_del
     0.03%  iperf3           [kernel.kallsyms]            [k] 0x00007fffc13ee5ce
     0.03%  iperf3           [kernel.kallsyms]            [k] iov_iter_advance
     0.03%  iperf3           [kernel.kallsyms]            [k] __pollwait
     0.03%  swapper          [kernel.kallsyms]            [k] switch_mm_irqs_off
     0.03%  iperf3           [kernel.kallsyms]            [k] ipv6_find_hdr
     0.03%  iperf3           [kernel.kallsyms]            [k] perf_event_task_tick
     0.03%  iperf3           [kernel.kallsyms]            [k] tcp_grow_window.isra.0
     0.03%  iperf3           [kernel.kallsyms]            [k] sock_def_readable
     0.03%  iperf3           [kernel.kallsyms]            [k] do_softirq.part.0
     0.03%  iperf3           [kernel.kallsyms]            [k] __enqueue_entity
     0.03%  swapper          [kernel.kallsyms]            [k] __switch_to_asm
     0.03%  swapper          [kernel.kallsyms]            [k] read_tsc
     0.03%  Xorg             Xorg                         [.] 0x000000000013b5e3
     0.03%  iperf3           [kernel.kallsyms]            [k] tcp_cleanup_rbuf
     0.03%  iperf3           [kernel.kallsyms]            [k] tcp_update_skb_after_send
     0.03%  swapper          [kernel.kallsyms]            [k] native_write_msr
     0.03%  iperf3           [kernel.kallsyms]            [k] copy_user_generic_unrolled
     0.03%  iperf3           [kernel.kallsyms]            [k] skb_release_all
     0.03%  swapper          [kernel.kallsyms]            [k] pm_qos_read_value
     0.03%  iperf3           [kernel.kallsyms]            [k] validate_xmit_skb
     0.03%  swapper          [kernel.kallsyms]            [k] _raw_spin_lock
     0.03%  iperf3           [kernel.kallsyms]            [k] __ipv6_addr_type
     0.03%  swapper          [kernel.kallsyms]            [k] rt6_uncached_list_del
     0.03%  iperf3           [kernel.kallsyms]            [k] fib6_rule_lookup
     0.03%  iperf3           [kernel.kallsyms]            [k] schedule_hrtimeout_range_clock
     0.03%  iperf3           [kernel.kallsyms]            [k] tcp_ack_update_rtt.isra.0
     0.03%  iperf3           [kernel.kallsyms]            [k] set_normalized_timespec64
     0.03%  iperf3           [kernel.kallsyms]            [k] selinux_ipv6_output
     0.03%  iperf3           [kernel.kallsyms]            [k] tcp_v6_inbound_md5_hash
     0.03%  iperf3           [kernel.kallsyms]            [k] poll_schedule_timeout.constprop.0
     0.03%  iperf3           [kernel.kallsyms]            [k] __wake_up_common
     0.03%  swapper          [kernel.kallsyms]            [k] __switch_to
     0.02%  iperf3           [kernel.kallsyms]            [k] rb_insert_color
     0.02%  iperf3           [kernel.kallsyms]            [k] iov_iter_init
     0.02%  iperf3           [kernel.kallsyms]            [k] __switch_to_asm
     0.02%  Xorg             [kernel.kallsyms]            [k] psi_task_change
