# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 223
#
# Samples: 27K of event 'cycles'
# Event count (approx.): 25727937029
#
# Overhead  Command          Shared Object                            Symbol                                                   
# ........  ...............  .......................................  .........................................................
#
     0.12%  iperf3           [kernel.kallsyms]                        [k] dev_queue_xmit
     0.11%  iperf3           [kernel.kallsyms]                        [k] prep_new_page
     0.11%  iperf3           [kernel.kallsyms]                        [k] process_backlog
     0.11%  ksoftirqd/0      [kernel.kallsyms]                        [k] free_unref_page_commit
     0.11%  iperf3           [kernel.kallsyms]                        [k] sock_read_iter
     0.11%  iperf3           [kernel.kallsyms]                        [k] fsnotify
     0.11%  iperf3           [kernel.kallsyms]                        [k] sock_rfree
     0.11%  iperf3           [kernel.kallsyms]                        [k] new_sync_read
     0.11%  ksoftirqd/0      [kernel.kallsyms]                        [k] tcp_add_backlog
     0.11%  iperf3           [kernel.kallsyms]                        [k] __kmalloc_reserve.isra.0
     0.11%  ksoftirqd/0      [kernel.kallsyms]                        [k] update_load_avg
     0.10%  iperf3           [kernel.kallsyms]                        [k] tcp_v6_do_rcv
     0.10%  iperf3           [kernel.kallsyms]                        [k] bad_range
     0.10%  iperf3           [kernel.kallsyms]                        [k] tcp_try_coalesce
     0.10%  iperf3           [kernel.kallsyms]                        [k] skb_clone_tx_timestamp
     0.10%  iperf3           [kernel.kallsyms]                        [k] netif_skb_features
     0.10%  iperf3           [kernel.kallsyms]                        [k] tcp_v6_inbound_md5_hash
     0.10%  iperf3           [kernel.kallsyms]                        [k] ip6_finish_output
     0.10%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_v6_rcv
     0.10%  iperf3           [kernel.kallsyms]                        [k] simple_copy_to_iter
     0.10%  swapper          [kernel.kallsyms]                        [k] menu_select
     0.10%  iperf3           [kernel.kallsyms]                        [k] memcg_kmem_put_cache
     0.10%  ksoftirqd/3      [kernel.kallsyms]                        [k] alloc_pages_current
     0.10%  ksoftirqd/3      [kernel.kallsyms]                        [k] skb_release_head_state
     0.09%  iperf3           [kernel.kallsyms]                        [k] sock_poll
     0.09%  iperf3           [kernel.kallsyms]                        [k] kmalloc_slab
     0.09%  iperf3           [kernel.kallsyms]                        [k] security_sk_classify_flow
     0.09%  ksoftirqd/0      [kernel.kallsyms]                        [k] kmem_cache_free
     0.09%  iperf3           [kernel.kallsyms]                        [k] do_softirq_own_stack
     0.09%  ksoftirqd/0      [kernel.kallsyms]                        [k] tcp_v6_rcv
     0.09%  ksoftirqd/0      [kernel.kallsyms]                        [k] memcmp
     0.09%  iperf3           [kernel.kallsyms]                        [k] ipv6_rcv
     0.09%  ksoftirqd/2      [kernel.kallsyms]                        [k] __netif_receive_skb_core
     0.09%  ksoftirqd/2      [kernel.kallsyms]                        [k] tcp_wfree
     0.09%  iperf3           [kernel.kallsyms]                        [k] conntrack_mt
     0.09%  iperf3           [kernel.kallsyms]                        [k] __call_rcu
     0.09%  iperf3           [kernel.kallsyms]                        [k] memcmp
     0.08%  iperf3           [kernel.kallsyms]                        [k] __tcp_select_window
     0.08%  iperf3           [kernel.kallsyms]                        [k] nf_nat_inet_fn
     0.08%  iperf3           [kernel.kallsyms]                        [k] fib6_node_lookup
